"Year","Fire - In India","Fire - Outside India","Marine - In India","Marine - Outside India","Miscellaneous - In India","Miscellaneous - Outside India","Total - In India","Total - Outside India"
"2000-01","18450.8","3049.9","7391.9","892.9","67340.60000000001","5596.9","93183.3","9539.700000000001"
"2001-02","24110.4","2229","7705.3","456.8","77393.7","2266.4","109209.4","4952.2"
"2002-03","25121.3","3181.8","11306.7","502.4","89134.89999999999","5957.3","125562.9","9641.5"
"2003-04","24462.9","3078.3","9654.700000000001","578.4","99253.2","5819","133370.8","9475.700000000001"
"2004-05","24113.8","2926.4","9829.9","611.2","105785.9","6221","139729.6","9758.6"
"2005-06","25159","2839","10023","640","114788","6315","149970","9794"
"2006-07","26069","2764","11377","674","125143","6808","162589","10245"
"2007-08","21267","2612","12522","730","134530","6472","168318","9814"
"2008-09","21804","2536","13164","847","145340","7382","180308","10765"
"2009-10","25760","3179","15550","683","165125","8093","206434","11954"
